pub_date,article_count,sent_bing_mean,sent_bing_median,sent_bing_sd,sent_afinn_mean,sent_afinn_median,sent_nrc_mean,sent_composite_mean,sent_composite_median,sent_composite_sd,sent_positive_count,sent_negative_count,sent_neutral_count,sent_positive_share
2025-10-09,5,0.305,0.25,0.3615936946352909,0.236,0.2,0.7675324675324675,0.43617748917748916,0.3523809523809524,0.14866144334555628,5,0,0,1
2025-10-10,4,0.3875,0.375,0.44791182167922294,0.13333333333333333,0.06666666666666667,0.2333333333333333,0.2513888888888889,0.33333333333333337,0.37944552898277845,3,1,0,0.75
2025-10-11,1,0,0,NA,0,0,0.6666666666666666,0.2222222222222222,0.2222222222222222,NA,1,0,0,1
2025-10-12,1,0,0,NA,0,0,0.75,0.25,0.25,NA,1,0,0,1
2025-10-13,2,0,0,0,-0.03333333333333333,-0.03333333333333333,-0.013888888888888895,-0.01574074074074074,-0.01574074074074074,0.09559036116040363,0,0,2,0
2025-10-14,4,0.125,0.25,0.5989960736902173,-0.1,-0.1,-0.020833333333333343,0.0013888888888888493,0.08333333333333333,0.4136651147492303,2,1,1,0.5
2025-10-15,13,0.04358974358974359,0,0.41769531146443717,-0.024871794871794875,-0.1,0.34816849816849815,0.1222954822954823,0.3,0.34621055410838286,7,5,1,0.5384615384615384
2025-10-16,1,0,0,NA,0,0,0.6666666666666666,0.2222222222222222,0.2222222222222222,NA,1,0,0,1
2025-10-17,5,0,0,0,0.12000000000000001,0.2,0.7714285714285715,0.29714285714285715,0.3444444444444445,0.06846957456026433,5,0,0,1
2025-10-18,1,0.6666666666666666,0.6666666666666666,NA,0.4,0.4,0.6666666666666666,0.5777777777777778,0.5777777777777778,NA,1,0,0,1
2025-10-19,1,0.6666666666666666,0.6666666666666666,NA,0.4,0.4,0.75,0.6055555555555555,0.6055555555555555,NA,1,0,0,1
2025-10-20,3,0.4444444444444444,0.6666666666666666,0.3849001794597505,0.33333333333333337,0.4,0.3333333333333333,0.37037037037037035,0.6055555555555555,0.4073526899282359,2,0,1,0.6666666666666666
2025-10-21,6,0.275,0.325,0.2318404623873926,0.08333333333333334,0.2,0.4634920634920635,0.273941798941799,0.27222222222222225,0.24220392318210682,4,0,2,0.6666666666666666
2025-10-22,2,0.125,0.125,0.1767766952966369,0.2,0.2,0.7023809523809523,0.34246031746031746,0.34246031746031746,0.0028059792904228764,2,0,0,1
2025-10-23,2,0.7083333333333333,0.7083333333333333,0.05892556509887899,0.13999999999999999,0.13999999999999999,0.2857142857142857,0.37801587301587297,0.37801587301587297,0.18104178381807948,2,0,0,1
2025-10-24,2,0.5833333333333333,0.5833333333333333,0.11785113019775789,0.5,0.5,0.7083333333333333,0.5972222222222222,0.5972222222222222,0.01178511301977575,2,0,0,1
2025-10-25,3,0.08333333333333333,0,0.14433756729740643,0,0,0.5777777777777777,0.22037037037037036,0.2222222222222222,0.0032075014954979094,3,0,0,1
2025-10-26,3,0,0,0,0,0,0.6666666666666666,0.2222222222222222,0.2222222222222222,0,3,0,0,1
2025-10-27,1,0,0,NA,0,0,-0.25,-0.08333333333333333,-0.08333333333333333,NA,0,0,1,0
2025-10-28,4,0.1625,0.2,0.3497022543059548,0.0225,0,0.45535714285714285,0.21345238095238098,0.26023809523809527,0.2428426310634712,3,0,1,0.75
2025-10-29,2,0.5833333333333333,0.5833333333333333,0.11785113019775789,0.4,0.4,0.7083333333333333,0.5638888888888889,0.5638888888888889,0.058925565098878904,2,0,0,1
2025-10-30,3,0.2222222222222222,0,0.3849001794597505,0.17777777777777778,0.2,0.4444444444444444,0.28148148148148144,0.2888888888888889,0.27785184197794144,2,0,1,0.6666666666666666
2025-10-31,52,-0.04326923076923077,0,0.4899564208021316,0.032692307692307694,0,0.21370504495504494,0.06770937395937396,0.05555555555555556,0.33409613768959373,26,16,10,0.5
2025-11-01,114,-0.08409565580618213,0,0.42770705568993245,-0.009005847953216375,0,0.18843984962406016,0.03177944862155388,0.026388888888888885,0.30806031402171447,52,37,25,0.45614035087719296
2025-11-02,383,0.05512661113183306,0,0.4161895998228556,0.03360686311077956,0,0.19648631032443042,0.09507326152234769,0.05555555555555555,0.2967821143074564,182,75,126,0.4751958224543081
2025-11-03,369,0.044367015098722415,0,0.41687264965006215,0.03839205058717254,0,0.20764028203052592,0.0967997825721403,0.16666666666666666,0.3032442904813688,196,72,101,0.5311653116531165
2025-11-04,281,-0.001234254081229171,0,0.40450642028935413,0.05109134045077106,0,0.1599644128113879,0.0699404997269766,0.011111111111111127,0.30096977293278554,123,66,92,0.4377224199288256
2025-11-05,356,0.0010255038344925951,0,0.42414345158012007,0.017181647940074908,0,0.13443666196475185,0.050881271246439784,0,0.31185122680823074,158,84,114,0.4438202247191011
