Variable,Importance,Importance_Scaled,Rank
oil_ret_5d,15.787211665615494,9.832981267672828,1
volume_ratio,15.542688882072238,9.680681545528936,2
usd_ret_1d,15.0008442472975,9.343196481251672,3
ma_ratio_20_50,14.726277990461163,9.172184340704591,4
vol_20d,13.394392830004247,8.342626714516035,5
ma_ratio_5_20,12.275414049235357,7.64567670058874,6
ret_2d,11.752324191886352,7.3198729502136795,7
vol_5d,11.198394995929595,6.974861080934513,8
oil_ret_1d,11.198390128607503,6.974858049348698,9
momentum_10d,10.894621469242145,6.78565734687435,10
ret_1d,10.748574332597775,6.694692660440893,11
ret_5d,9.061640151020663,5.643994629744791,12
momentum_5d,8.972888658555588,5.588716232180273,13
