Variable,Importance,Importance_Scaled,Rank
ma_ratio_20_50,12.206036038779514,9.751931967028982,1
volume_ratio,12.08876184745529,9.658236525556523,2
usd_ret_1d,10.805459624341264,8.632950680652828,3
oil_ret_5d,10.543563525394074,8.42371052019049,4
vol_5d,9.964651046253808,7.961192214206163,5
ret_2d,9.912435488725654,7.91947493899763,6
oil_ret_1d,9.396150450756208,7.506992413968443,7
ret_1d,8.89979526361564,7.110432711776974,8
ma_ratio_5_20,8.783504471413714,7.017522950545556,9
ret_5d,8.244924960520496,6.587228403455919,10
momentum_10d,8.141829649003874,6.504861084464267,11
vol_20d,8.127767387548928,6.493626133446957,12
momentum_5d,8.050431899798136,6.431839455709265,13
