Variable,Importance,Importance_Scaled,Rank
vol_20d,0.09887837438701459,9.887837438701458,1
volume_ratio,0.0968044609972334,9.68044609972334,2
oil_ret_5d,0.09498516434611474,9.498516434611474,3
usd_ret_1d,0.09383811139256698,9.383811139256698,4
ma_ratio_20_50,0.08745055691711297,8.745055691711297,5
ma_ratio_5_20,0.0844378489782206,8.44378489782206,6
momentum_10d,0.08131176218186026,8.131176218186026,7
ret_5d,0.07691056279729538,7.691056279729539,8
oil_ret_1d,0.07250354948043441,7.250354948043442,9
ret_2d,0.0699867627887044,6.99867627887044,10
vol_5d,0.06947266283471665,6.947266283471665,11
ret_1d,0.054274034150418635,5.427403415041863,12
momentum_5d,0.01914614874830697,1.914614874830697,13
