Variable,Importance,Importance_Scaled,Rank
ma_ratio_5_20,0.1017171899012146,10.17171899012146,1
usd_ret_1d,0.09983275326537841,9.983275326537841,2
volume_ratio,0.09594271723403436,9.594271723403436,3
vol_5d,0.092713702116867,9.2713702116867,4
ma_ratio_20_50,0.08410523403776239,8.410523403776239,5
ret_5d,0.07822581632268032,7.822581632268031,6
oil_ret_5d,0.07557498432604261,7.557498432604261,7
oil_ret_1d,0.07511093990607359,7.5110939906073595,8
momentum_10d,0.07445756680915291,7.4457566809152915,9
ret_2d,0.06959965249620145,6.959965249620145,10
vol_20d,0.06265331003406822,6.265331003406822,11
ret_1d,0.06066158247730664,6.066158247730664,12
momentum_5d,0.02940455107321747,2.940455107321747,13
